,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
4333,i'm not there,2007-12-05,"Comédie dramatique, Biopic, Musical",2h 15min,Todd Haynes,"Todd Haynes, Oren Moverman","Christian Bale, Cate Blanchett, Marcus Carl Franklin",U.S.A.,Diaphana Films,Box Office France,48837,"3,9","3,1",136876.0,20000000
4335,couples retreat,2010-02-24,Comédie,1h 47min,Peter Billingsley,"Jon Favreau, Vince Vaughn","Vince Vaughn, Jason Bateman, Faizon Love",U.S.A.,Universal Pictures International France,Box Office France,80771,"1,5","1,8",420915.0,70000000
4336,"definitely, maybe",2008-06-25,"Comédie, Romance",1h 52min,Adam Brooks,Adam Brooks,"Ryan Reynolds, Abigail Breslin, Isla Fisher",U.S.A.,Mars Films,Box Office France,50836,"3,0","3,4",150501.0,0
4337,possessions,2012-03-07,"Drame, Thriller",1h 38min,Eric Guirado,"Isabelle Claris, Eric Guirado","Jérémie Renier, Julie Depardieu, Lucien Jean-Baptiste",France,UGC Distribution,Box Office France,55148,"3,1","3,0",890391.0,0
4338,j'ai toujours rêvé d'être un gangster,2008-03-26,"Comédie dramatique, Policier",1h 53min,Samuel Benchetrit,Samuel Benchetrit,"Anna Mouglalis, Edouard Baer, Jean Rochefort",France,Mars Films,Box Office France,79238,"3,0","3,5",314829.0,0
4339,lung boonmee raluek chat,2010-09-01,"Drame, Comédie, Fantastique",1h 53min,Apichatpong Weerasethakul,Apichatpong Weerasethakul,"Thanapat Saisaymar, Jenjira Pongpas, Sakda Kaewbuadee",France,Pyramide Distribution,Box Office France,45115,"3,7","2,4",214169.0,Erreur lors de la requête API 2.
4340,le coeur des hommes 2,2007-10-24,Comédie dramatique,1h 55min,Marc Esposito,Marc Esposito,"Bernard Campan, Gérard Darmon, Jean-Pierre Darroussin",France,Pathé,Box Office France,580779,"2,5","3,0",466344.0,0
4342,né quelque part,2013-06-19,Comédie dramatique,1h 27min,Mohamed Hamidi,"Alain-Michel Blanc, Mohamed Hamidi","Tewfik Jallab, Jamel Debbouze, Fatsah Bouyahmed",France,Mars Films,Box Office France,150067,"3,4","3,4",616633.0,0
4343,respiro,2003-01-01,Drame,1h 30min,Emanuele Crialese,Emanuele Crialese,"Valeria Golino, Vincenzo Amato, Veronica D'Agostino",Italie,Pan Européenne Edition,Box Office France,77204,"3,9","3,4",23316.0,0
4344,behind enemy lines,2002-01-16,"Guerre, Action, Drame",1h 46min,John Moore,"David Veloz, Zak Penn","Gabriel Macht, Owen Wilson, Gene Hackman",U.S.A.,UFD,Box Office France,103872,"2,9","2,6",25913.0,40000000
4345,saw vi,2009-11-04,"Epouvante-horreur, Policier, Thriller",1h 30min,Kevin Greutert,"Marcus Dunstan, Patrick Melton","Tobin Bell, Costas Mandylor, Betsy Russell",U.S.A.,Metropolitan FilmExport,Box Office France,266042,"2,3","2,6",648612.0,11000000
4346,nos batailles,2018-10-03,Drame,1h 38min,Guillaume Senez,"Guillaume Senez, Raphaëlle Desplechin","Romain Duris, Laure Calamy, Laetitia Dosch",France,Haut et Court,Box Office France,83239,"4,1","3,7",356986.0,0
4347,totally spies! le film,2009-07-22,"Animation, Aventure, Comédie",1h 28min,Pascal Jardin (II),"Michelle Lamoreaux, Robert Lamoreaux","Andrea Baker, Adrian Truss, Fily Keita",France,Mars Films,Box Office France,85666,"2,7","2,1",287698.0,0
4349,rafiki,2018-09-26,Drame,1h 22min,Wanuri Kahiu,"Wanuri Kahiu, Jenna Cato Bass","Samantha Mugatsia, Sheila Munyiva, Jimmi Gathu",Afrique du Sud,Météore Films,Box Office France,8440,"3,2","3,6",109893.0,0
4350,august: osage county,2014-02-26,"Comédie, Drame",2h 01min,John Wells,Tracy Letts,"Meryl Streep, Julia Roberts, Ewan McGregor",U.S.A.,Wild Bunch Distribution,Box Office France,230896,"2,9","3,5",451451.0,25000000
4351,les derniers jours du monde,2009-08-19,Comédie dramatique,2h 10min,Jean-Marie Larrieu,"Arnaud Larrieu, Arnaud Larrieu, Jean-Marie Larrieu","Mathieu Amalric, Catherine Frot, Karin Viard",France,Wild Bunch Distribution,Box Office France,71726,"3,5","2,2",579697.0,0
4352,the spongebob movie: sponge out of water,2015-02-18,"Animation, Aventure, Comédie, Famille",1h 33min,Paul Tibbitt,"Mike Mitchell (V), Jonathan Aibel, Glenn Berger","Tom Kenny, Bill Fagerbakke, Clancy Brown",U.S.A.,Paramount Pictures France,Box Office France,582073,"2,8","2,0",812546.0,74000000
4353,ratchet & clank,2016-04-13,"Animation, Aventure, Famille",1h 34min,Jericca Cleland,"Kevin Munroe, T.J. Fixman, Kevin Munroe"," Squeezie, James Arnold Taylor, Xavier Fagnon",Canada,La Belle Company,Box Office France,97190,"2,2","2,3",287879.0,20000000
4354,m,2017-11-15,Drame,1h 40min,Sara Forestier,Sara Forestier,"Sara Forestier, Redouanne Harjane, Jean-Pierre Léaud",France,Ad Vitam,Box Office France,35112,"3,2","3,7",184280.0,0
4355,the mexican,2001-04-25,"Comédie, Romance, Aventure, Policier",2h 05min,Gore Verbinski,J.H. Wyman,"Brad Pitt, Julia Roberts, James Gandolfini",Mexique,United International Pictures (UIP),Box Office France,374470,"2,4","2,1",32209.0,57000000
4356,rester vertical,2016-08-24,Drame,1h 38min,Alain Guiraudie,Alain Guiraudie,"Damien Bonnard, India Hair, Christian Bouillette",France,Les Films du Losange,Box Office France,34156,"3,7","2,6",172787.0,0
4358,the hunted,2003-03-26,Policier,1h 35min,William Friedkin,"Peter Griffiths, Art Monterastelli","Tommy Lee Jones, Benicio Del Toro, Connie Nielsen",U.S.A.,CTV International,Box Office France,118026,"3,4","2,5",27438.0,55000000
4359,child's play,2019-06-19,Epouvante-horreur,1h 30min,Lars Klevberg,Tyler Burton Smith,"Mark Hamill, Aubrey Plaza, Gabriel Bateman",U.S.A.,Paramount Pictures France,Box Office France,87030,"3,0","2,7",150108.0,9000000
4360,marie curie,2018-01-24,Drame,1h 39min,Marie Noëlle,"Marie Noëlle, Andrea Stoll","Karolina Gruszka, Arieh Worthalter, Charles Berling",France,KMBO,Box Office France,13320,"2,2","2,9",281186.0,0
4361,galveston,2018-10-10,Policier,1h 33min,Mélanie Laurent,Jim Hammet,"Ben Foster, Elle Fanning, Lili Reinhart",U.S.A.,The Jokers / Les Bookmakers,Box Office France,15958,"3,0","3,1",361633.0,0
4362,kkeut-kka-ji-gan-da,2015-01-07,"Policier, Action, Thriller",1h 51min,Seong Hun Kim,Seong Hun Kim,"Sun-kyun Lee, Jin-woong Cho, Man-Sik Jeong",Corée du Sud,Bodega Films,Box Office France,14747,"3,6","3,9",322192.0,0
4363,sa majesté minor,2007-10-10,"Comédie, Fantastique",1h 41min,Jean-Jacques Annaud,"Gérard Brach, Jean-Jacques Annaud","José Garcia, Vincent Cassel, Sergio Peris-Mencheta",France,StudioCanal,Box Office France,101297,"2,1","1,3",283151.0,0
4364,les meilleurs amis du monde,2010-06-09,Comédie,1h 31min,Julien Rambaldi,"Julien Rambaldi, Guy Laurent","Marc Lavoine, Pierre-François Martin-Laval, Léa Drucker",France,Gaumont Distribution,Box Office France,218206,"2,5","2,4",1169007.0,0
4366,se jie,2008-01-16,"Guerre, Romance, Thriller",2h 38min,Ang Lee,"Ang Lee, Wang Hui-Ling","Mark Windows, Lee-Hom Wang, Anupam Kher",Taïwan,UGC Ph,Box Office France,92291,"3,4","3,6",166404.0,15000000
4367,music,2023-03-08,Drame,1h 49min,Angela Schanelec,Angela Schanelec,"Aliocha Schneider, Agathe Bonitzer, Marisha Triantafyllidou",Allemagne,Shellac,Box Office France,1370,"3,5","2,5",3188.0,16000000
4368,bewitched,2005-09-21,"Comédie, Fantastique, Romance",1h 42min,Nora Ephron,"Delia Ephron, Nora Ephron","Nicole Kidman, Will Ferrell, Shirley MacLaine",U.S.A.,Gaumont Columbia Tristar Films,Box Office France,346788,"2,9","1,3",203031.0,85000000
4369,papi-sitter,2020-03-04,Comédie,1h 37min,Philippe Guillard,Philippe Guillard,"Gérard Lanvin, Olivier Marchal, Camille Aguilar",France,Gaumont Distribution,Box Office France,187681,"3,3","2,5",326631.0,0
4370,chaos,2001-10-03,Comédie dramatique,1h 49min,Coline Serreau,Coline Serreau,"Vincent Lindon, Catherine Frot, Rachida Brakni",France,Bac Films,Box Office France,366179,"3,3","3,2",21637.0,30000000
4371,peur de rien,2016-02-10,Drame,2h 00min,Danielle Arbid,Danielle Arbid,"Manal Issa, Vincent Lacoste, Paul Hamy",France,Ad Vitam,Box Office France,20660,"3,6","3,7",186821.0,0
4372,step up 2: the streets,2008-04-09,"Comédie dramatique, Musical, Romance",1h 42min,Jon M. Chu,"Toni Ann Johnson, Karen Barna","Robert Hoffman, Briana Evigan, Cassie Ventura",U.S.A.,Paramount Pictures France,Box Office France,206184,"2,6","3,3",697294.0,23000000
4373,tom yum goong,2006-02-08,"Arts Martiaux, Action",1h 34min,Prachya Pinkaew,"Prachya Pinkaew,  Napalee","Tony Jaa, Petthai Wongkhamlao, Bongkoj Khongmalai",Thaïlande,TFM Distribution,Box Office France,216132,"2,1","2,5",173981.0,6000000
4374,kriegerin,2013-03-27,Drame,1h 40min,David Wnendt,David Wnendt,"Alina Levshin, Jella Haase, Gerdy Zint",Allemagne,UFO Distribution,Box Office France,6039,"2,8","3,7",140563.0,0
4375,l'amour est un crime parfait,2014-01-15,Thriller,1h 55min,Jean-Marie Larrieu,Arnaud Larrieu,"Mathieu Amalric, Karin Viard,  Maïwenn",France,Gaumont Distribution,Box Office France,171693,"3,2","2,3",689512.0,0
4376,meek's cutoff,2011-06-22,Western,1h 44min,Kelly Reichardt,Jonathan Raymond,"Michelle Williams, Paul Dano, Bruce Greenwood",U.S.A.,Pretty Pictures,Box Office France,15699,"4,2","3,0",200172.0,0
4377,la virgen de agosto,2020-08-05,Drame,2h 09min,Jonás Trueba,"Jonás Trueba, Itsaso Arana","Itsaso Arana, Vito Sanz, Isabelle Stoffel",Espagne,Arizona Distribution,Box Office France,13362,"4,1","3,6",123926.0,0
4378,the stepfather,2009-12-09,Thriller,1h 41min,Nelson McCormick,"J.S. Cardone, Carolyn Lefcourt","Dylan Walsh, Penn Badgley, Sela Ward",U.S.A.,Sony Pictures Releasing France,Box Office France,16844,"1,5","2,4",97450.0,20000000
4379,les brigades du tigre,2006-04-12,Policier,2h 05min,Jérôme Cornuau,"Xavier Dorison, Fabien Nury","Clovis Cornillac, Diane Kruger, Edouard Baer",France,TFM Distribution,Box Office France,407863,"3,3","2,4",171727.0,0
4380,the game plan,2008-04-09,"Comédie, Famille",1h 50min,Andy Fickman,"Audrey Wells, Kathryn Price","Dwayne Johnson, Madison Pettis, Kyra Sedgwick",U.S.A.,The Walt Disney Company France,Box Office France,65028,"2,0","2,6",296113.0,22000000
4381,resident evil: the final chapter,2017-01-25,"Action, Epouvante-horreur",1h 47min,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Iain Glen",U.S.A.,Metropolitan FilmExport,Box Office France,174825,"2,2","2,2",4243412.0,40000000
4382,æon flux,2006-02-08,"Science fiction, Action",1h 33min,Karyn Kusama,"Phil Hay, Matt Manfredi","Charlize Theron, Frances McDormand, Marton Csokas",U.S.A.,United International Pictures (UIP),Box Office France,25794,"2,0","1,8",138730.0,62000000
4383,daddy day care,2003-10-22,"Comédie, Famille",1h 33min,Steve Carr,Geoff Rodkey,"Eddie Murphy, Anjelica Huston, Steve Zahn",U.S.A.,Columbia TriStar Films,Box Office France,203655,"2,9","2,2",35970.0,60000000
4384,one piece - strong world,2011-08-24,Animation,1h 53min,Munehisa Sakai,Hirohiko Uesaka,"Ikue Ôtani, Hiroaki Hirata, Yûichi Nagashima",Japon,Eurozoom,Box Office France,10951,"3,1","3,9",241795.0,0
4386,florence foster jenkins,2016-07-13,"Biopic, Drame, Comédie",1h 50min,Stephen Frears,Nicholas Martin,"Meryl Streep, Hugh Grant, Simon Helberg",Grande-Bretagne,Pathé,Box Office France,55876,"3,5","3,6",368773.0,29000000
4388,step up 3-d,2010-08-18,"Romance, Comédie musicale",1h 47min,Jon M. Chu,"Amy Andelson, Emily Meyer","Rick Malambri, Adam Sevani, Sharni Vinson",U.S.A.,Universal Pictures International France,Box Office France,355666,"3,3","3,7",1746292.0,30000000
4389,charlatan,2021-06-30,"Biopic, Drame, Historique",1h 59min,Agnieszka Holland,Marek Epstein,"Ivan Trojan, Josef Trojan, Juraj Loj",Pologne,KMBO,Box Office France,17917,"3,0","3,5",157216.0,0
4390,"telle mère, telle fille",2017-03-29,Comédie,1h 34min,Noémie Saglio,"Noémie Saglio, Agathe Pastorino","Juliette Binoche, Camille Cottin, Lambert Wilson",France,Gaumont Distribution,Box Office France,123885,"3,0","2,0",523407.0,0
4391,karafuru,2011-11-16,"Animation, Drame, Fantastique",2h 06min,Keiichi Hara,Miho Maruo,"Kazato Tomizawa, Aoi Miyazaki, Akina Minami",Japon,Eurozoom,Box Office France,3526,"3,6","4,1",217141.0,0
4392,feathers,2022-03-23,"Comédie dramatique, Fantastique",1h 52min,Omar El Zohairy,"Ahmed Amer (II), Omar El Zohairy","Demyana Nassar, Samy Bassouny, Fady Mina Fawzy",France,Dulac Distribution,Box Office France,5471,"3,9","2,7",82880.0,0
4393,star wars: the clone wars,2008-08-27,"Science fiction, Animation",1h 37min,Dave Filoni,"Henry Gilroy, Steven Melching","Anthony Daniels, Christopher Lee, Samuel L. Jackson",U.S.A.,Warner Bros. France,Box Office France,184563,"2,6","3,3",394751.0,8500000
4394,"kimi to, nami ni noretara",2021-09-01,"Animation, Romance, Fantastique",1h 35min,Masaaki Yuasa,Reiko Yoshida,"Ryōta Katayose, Rina Kawaei, Honoka Matsumoto",Japon,Alba Films,Box Office France,5636,"3,7","3,5",92020.0,0
4397,selon la police,2022-02-23,"Drame, Policier",1h 51min,Frédéric Videau,Frédéric Videau,"Patrick d'Assumçao, Sofia Lesaffre, Laetitia Casta",France,Pyramide Distribution,Box Office France,5704,"2,4","2,3",96026.0,0
4398,hannah montana: the movie,2009-06-17,"Comédie, Comédie musicale",1h 43min,Peter Chelsom,"Dan Berendsen, Michael Poryes","Miley Cyrus, Emily Osment, Lucas Till",U.S.A.,The Walt Disney Company France,Box Office France,135334,"1,8","2,4",575618.0,35000000
4399,un barrage contre le pacifique,2009-01-07,Drame,1h 55min,Rithy Panh,"Michel Fessler, Rithy Panh","Isabelle Huppert, Gaspard Ulliel, Astrid Bergès-Frisbey",France,Diaphana Films,Box Office France,69299,"3,1","2,0",124065.0,0
4400,god bless america,2012-10-10,Comédie,1h 40min,Bobcat Goldthwait,Bobcat Goldthwait,"Joel Murray, Tara Lynne Barr, Melinda Page Hamilton",U.S.A.,Potemkine Films,Box Office France,376,"3,1","4,0",933496.0,0
4401,in the cut,2003-12-17,"Thriller, Erotique",1h 42min,Jane Campion,"Jane Campion, Susanna Moore","Nick Damici, Patrice O'Neal, Sharrieff Pugh",U.S.A.,Pathé,Box Office France,135900,"3,5","2,4",43907.0,12000000
4402,appaloosa,2008-10-01,Western,1h 55min,Ed Harris,"Ed Harris, Robert Knott","Ed Harris, Viggo Mortensen, Renée Zellweger",U.S.A.,Metropolitan FilmExport,Box Office France,131985,"4,0","3,5",221911.0,20000000
4403,"men, women & children",2014-12-10,Comédie dramatique,1h 59min,Jason Reitman,"Jason Reitman, Erin Cressida Wilson","Ansel Elgort, Jennifer Garner, Adam Sandler",U.S.A.,Paramount Pictures France,Box Office France,21894,"2,3","3,2",268537.0,0
4404,danse avec lui,2007-02-21,Drame,1h 58min,Valérie Guignabodet,Valérie Guignabodet,"Mathilde Seigner, Sami Frey, Jean-François Pignon",France,Wild Bunch Distribution,Box Office France,361071,"3,1","2,7",366092.0,0
4406,no man's land,2001-09-19,Comédie dramatique,1h 38min,Danis Tanovic,Danis Tanovic,"Aleksandar Petrovic (II), Branko Đurić, Rene Bitorajac",France,Océan Films,Box Office France,46453,"4,3","3,8",23546.0,8000000
4408,les convoyeurs attendent,1999-09-15,Comédie dramatique,1h 34min,Benoît Mariage,"Benoît Mariage, Emmanuelle Bada","Benoît Poelvoorde, Dominique Bayens, Bouli Lanners",Belgique,Mars Distribution,Box Office France,52649,"3,5","3,2",17745.0,0
4409,20th century women,2017-03-01,"Drame, Comédie",1h 59min,Mike Mills,Mike Mills,"Annette Bening, Greta Gerwig, Elle Fanning",U.S.A.,Mars Films,Box Office France,35698,"3,6","3,5",280310.0,7000000
4410,mastemah,2022-06-29,"Epouvante-horreur, Thriller",1h 41min,Didier D. Daarwin,"Didier D. Daarwin, Johanne Rigoulot","Camille Razat, Olivier Barthelemy, Tibo Vandenborre",France,Alba Films,Box Office France,3603,"1,3","1,6",89968.0,0
4412,the happy prince,2018-12-19,"Biopic, Drame",1h 45min,Rupert Everett,Rupert Everett,"Rupert Everett, Colin Firth, Colin Morgan (II)",Grande-Bretagne,Océan Films,Box Office France,13801,"3,0","2,9",54234.0,0
4413,cellular,2004-11-17,Thriller,1h 35min,David R. Ellis,"Larry Cohen, Chris Morgan","Kim Basinger, Chris Evans, Eric Christian Olsen",U.S.A.,Metropolitan FilmExport,Box Office France,182469,"2,8","2,8",80861.0,25000000
4414,die höhle des gelben hundes,2006-02-01,Drame,1h 33min,Byambasuren Davaa,Byambasuren Davaa,"Batchuluun Urjindorj, Buyandulam Daramdadi, Nansal Batchuluun",Mongolie,ARP Sélection,Box Office France,54153,"3,6","3,3",89220.0,0
4415,"i, frankenstein",2014-01-29,"Epouvante-horreur, Thriller, Action",1h 33min,Stuart Beattie,Kevin Grevioux,"Aaron Eckhart, Bill Nighy, Yvonne Strahovski",U.S.A.,Metropolitan FilmExport,Box Office France,166331,"1,9","1,8",493159.0,65000000
4417,l'echange des princesses,2017-12-27,"Historique, Drame",1h 44min,Marc Dugain,"Marc Dugain, Chantal Thomas","Lambert Wilson, Anamaria Vartolomei, Olivier Gourmet",France,Ad Vitam,Box Office France,123056,"3,6","3,5",250234.0,0
4418,fatima,2015-10-07,"Drame, Famille",1h 19min,Philippe Faucon,Philippe Faucon,"Soria Zeroual, Zita Hanrot, Kenza Noah Aïche",France,Pyramide Distribution,Box Office France,66812,"4,3","3,5",340356.0,0
4420,mar adentro,2005-02-02,Drame,2h 05min,Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil","Javier Bardem, Belén Rueda, Lola Dueñas",Espagne,UGC,Box Office France,69322,"3,7","3,7",47572.0,12806000
4421,starred up,2014-06-04,Drame,1h 45min,David Mackenzie,Jonathan Asser,"Jack O'Connell, Rupert Friend, Ben Mendelsohn",Grande-Bretagne,Wild Side Films / Le Pacte,Box Office France,35412,"3,8","4,0",618214.0,0
4422,nos années folles,2017-09-13,Drame,1h 43min,André Téchiné,"André Téchiné, Cédric Anger","Pierre Deladonchamps, Céline Sallette, Grégoire Leprince-Ringuet",France,ARP Sélection,Box Office France,66095,"3,2","2,6",356693.0,0
4423,the boxtrolls,2014-10-15,"Aventure, Famille, Animation, Fantastique",1h 36min,Graham Annable,"Anthony Stacchi, Irena Brignull, Adam Pava","Isaac Hempstead Wright, Elle Fanning, Ben Kingsley",U.S.A.,Universal Pictures International France,Box Office France,142863,"3,6","3,7",344015.0,60000000
4424,oscar et la dame rose,2009-12-09,Drame,1h 45min,Eric-Emmanuel Schmitt,Eric-Emmanuel Schmitt,"Michèle Laroque, Amir Ben Abdelmoumen, Amira Casar",France,Wild Bunch Distribution,Box Office France,99583,"2,8","3,6",348668.0,0
4425,my sweet pepper land,2014-04-09,Drame,1h 34min,Hiner Saleem,Hiner Saleem,"Golshifteh Farahani, Korkmaz Arslan, Suat Usta",France,Memento Distribution,Box Office France,41745,"3,5","3,9",382125.0,0
4426,l'adieu à la nuit,2019-04-24,Drame,1h 43min,André Téchiné,"André Téchiné, Léa Mysius","Catherine Deneuve, Kacey Mottet Klein, Oulaya Amamra",France,Ad Vitam,Box Office France,100079,"3,6","3,5",186964.0,0
4428,al-sadd,2023-03-01,Drame,1h 21min,Ali Cherri,"Ali Cherri, Geoffroy Grison","Maher El Khair, Mudathir Musa, Santino Aguer Ding",France,Dulac Distribution,Box Office France,4214,"3,3","2,6",77544.0,0
4429,blanche,2002-09-18,"Aventure, Comédie, Historique, Action",1h 34min,Bernie Bonvoisin,Bernie Bonvoisin,"Lou Doillon, Carole Bouquet, Roschdy Zem",France,EuropaCorp Distribution,Box Office France,339377,"2,5","1,2",17819.0,0
4430,free fire,2017-06-14,"Action, Thriller, Comédie",1h 30min,Ben Wheatley,"Amy Jump, Ben Wheatley","Brie Larson, Cillian Murphy, Armie Hammer",Grande-Bretagne,Metropolitan FilmExport,Box Office France,6650,"2,7","2,5",401598.0,7000000
4431,au bout du conte,2013-03-06,Comédie,1h 52min,Agnès Jaoui,"Agnès Jaoui, Jean-Pierre Bacri","Agnès Jaoui, Jean-Pierre Bacri, Agathe Bonitzer",France,Memento Distribution,Box Office France,369847,"3,5","2,8",622802.0,0
4432,chéri,2009-04-08,"Romance, Drame, Comédie",1h 30min,Stephen Frears,Christopher Hampton,"Michelle Pfeiffer, Rupert Friend, Kathy Bates",Grande-Bretagne,Pathé,Box Office France,90899,"3,5","3,0",116980.0,23000000
4434,le skylab,2011-10-05,Comédie,1h 53min,Julie Delpy,Julie Delpy,"Julie Delpy, Noémie Lvovsky, Bernadette Lafont",France,Mars Films,Box Office France,129376,"3,2","2,7",1086790.0,0
4435,seed of chucky,2005-03-02,"Epouvante-horreur, Fantastique",1h 27min,Don Mancini,Don Mancini,"Jennifer Tilly, Brad Dourif, Billy Boyd",U.S.A.,Rogue Pictures,Box Office France,94206,"3,4","1,9",134237.0,12000000
4436,paranorman,2012-08-22,"Animation, Aventure, Comédie",1h 27min,Sam Fell,"Chris Butler, Chris Butler","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick",U.S.A.,Universal Pictures International France,Box Office France,137124,"3,8","3,7",2393525.0,60000000
4437,akher wahed fina,2018-08-22,Drame,1h 34min,Ala Eddine Slim,Ala Eddine Slim,"Jawher Soudani, Fathi Akkari, Jihed Fourti",Tunisie,Potemkine Films,Box Office France,850,"3,6","3,3",59043.0,0
4438,isolation,2006-06-07,"Epouvante-horreur, Science fiction, Thriller",1h 34min,Billy O'Brien,Billy O'Brien,"Essie Davis, Sean Harris, Marcel Iures",Grande-Bretagne,TFM Distribution,Box Office France,24308,"3,6","2,0",77208.0,5000000
4439,venise sous la neige,2017-05-17,Comédie,1h 20min,Elliott Covrigaru,"Elliott Covrigaru, Véra Belmont","Élodie Fontan, Arthur Jugnot, Juliette Arnaud",France,Urban Distribution,Box Office France,13074,"2,5","1,6",106989.0,0
4440,the visitor,2008-10-29,"Drame, Musical, Romance",1h 45min,Tom McCarthy,Tom McCarthy,"Richard Jenkins, Haaz Sleiman, Danai Gurira",U.S.A.,TFM Distribution,Box Office France,65990,"4,1","4,1",206840.0,0
4441,the miseducation of cameron post,2018-07-18,Drame,1h 31min,Desiree Akhavan,"Desiree Akhavan, Cecilia Frugiuele","Chloë Grace Moretz, Sasha Lane, Forrest Goodluck",U.S.A.,Condor Distribution,Box Office France,18457,"2,8","3,3",314213.0,900000
4442,actrices,2007-12-26,Comédie dramatique,1h 47min,Valeria Bruni Tedeschi,"Valeria Bruni Tedeschi, Noémie Lvovsky","Valeria Bruni Tedeschi, Noémie Lvovsky, Mathieu Amalric",France,Mars Films,Box Office France,131812,"3,7","2,0",153904.0,0
4443,mia and me - the movie,2022-07-20,"Animation, Fantastique, Famille",1h 22min,Adam Gunn,"Matthias Temmermans, Gerhard Hahn, Tess Meyer","Margot Nuccetelli, Dave Willetts, Rick Kavanian",Allemagne,Alba Films,Box Office France,42006,"2,4","2,5",98364.0,Erreur lors de la requête API 2.
4444,agents secrets,2004-03-31,"Espionnage, Action, Thriller",1h 49min,Frédéric Schoendoerffer,"Frédéric Schoendoerffer, Jean Cosmos","Vincent Cassel, Monica Bellucci, Charles Berling",France,TFM Distribution,Box Office France,395151,"3,2","1,7",55683.0,0
4446,os demónios do meu avô,2022-09-21,"Animation, Famille",1h 25min,Nuno Beato,"Cristina Pinheiro, Possidónio Cachapa","Cédric Carlier, Cédric Carlier, Aloïse Sauvage",Portugal,Cinéma Public Films,Box Office France,648,"3,4",--,166167.0,0
4447,goya's ghosts,2007-07-25,"Drame, Historique",1h 54min,Milos Forman,"Milos Forman, Jean-Claude Carrière","Natalie Portman, Javier Bardem, Stellan Skarsgård",Espagne,StudioCanal,Box Office France,24919,"2,9","2,7",81624.0,50000000
4448,éternité,2016-09-07,Drame,1h 55min,Tran Anh Hung,Tran Anh Hung,"Audrey Tautou, Bérénice Bejo, Mélanie Laurent",France,Pathé,Box Office France,50697,"2,9","2,1",670947.0,0
4449,benvenuti al sud,2010-11-24,Comédie,1h 44min,Luca Miniero,Massimo Gaudioso,"Claudio Bisio, Alessandro Siani, Angela Finocchiaro",Italie,Pathé,Box Office France,21667,"1,7","1,8",255282.0,4000000
4450,aquarius,2016-09-28,"Drame, Thriller",2h 25min,Kleber Mendonça Filho,Kleber Mendonça Filho,"Sônia Braga, Maeve Jinkings, Irandhir Santos",Brésil,SBS Distribution,Box Office France,51391,"4,3","3,8",360802.0,762241
4451,the souvenir - part i,2022-02-02,"Drame, Romance",1h 59min,Joanna Hogg,Joanna Hogg,"Honor Swinton Byrne, Tilda Swinton, Tom Burke",Grande-Bretagne,Condor Distribution,Box Office France,13082,"4,3","3,1",132772.0,0
4452,the lazarus effect,2015-03-11,Epouvante-horreur,1h 23min,David Gelb,"Luke Dawson, Jeremy Slater","Mark Duplass, Olivia Wilde, Donald Glover",U.S.A.,Metropolitan FilmExport,Box Office France,101092,"2,3","1,9",301516.0,3300000
4453,party girl,2014-08-27,Drame,1h 35min,Marie Amachoukeli,"Claire Burger, Samuel Theis, Marie Amachoukeli, Claire Burger","Angélique Litzenburger, Joseph Bour, Mario Theis",France,Pyramide Distribution,Box Office France,80755,"3,6","3,5",217158.0,150000
4454,d'amour et d'eau fraîche,2010-08-18,Drame,1h 30min,Isabelle Czajka,Isabelle Czajka,"Pio Marmaï, Anaïs Demoustier, Laurent Poitrenaux",France,Bac Films,Box Office France,20326,"3,3","2,8",228255.0,0
4455,switch,2011-07-06,Thriller,1h 40min,Frédéric Schoendoerffer,"Jean-Christophe Grangé, Frédéric Schoendoerffer","Karine Vanasse, Karina Testa, Eric Cantona",France,Pathé,Box Office France,122604,"2,3","2,9",873154.0,0
4456,the secret,2007-10-10,Drame,1h 33min,Vincent Perez,Ann Cherkis,"Olivia Thirlby, David Duchovny, Lili Taylor",France,EuropaCorp Distribution,Box Office France,43540,"2,4","3,1",145896.0,0
4457,también la lluvia,2011-01-05,"Drame, Historique",1h 43min,Icíar Bollaín,Paul Laverty,"Gael García Bernal, Luis Tosar, Carlos Aduviri",Espagne,Haut et Court,Box Office France,49237,"3,2","4,0",453394.0,10600000
4458,revenir,2020-01-29,Drame,1h 17min,Jessica Palud,Jessica Palud,"Niels Schneider, Adèle Exarchopoulos, Patrick d'Assumçao",France,Pyramide Distribution,Box Office France,22258,"3,1","3,1",207886.0,0
4459,a propos d'elly,2009-09-09,Drame,1h 59min,Asghar Farhadi,Asghar Farhadi,"Taraneh Alidoosti, Golshifteh Farahani, Shahab Hosseini",Iran,Memento Distribution,Box Office France,34115,"3,9","3,9",156695.0,0
4460,underworld : rise of the lycans,2009-02-25,"Action, Fantastique",1h 25min,Patrick Tatopoulos,"Danny McBride (II), Dirk Blackman","Michael Sheen, Bill Nighy, Rhona Mitra",U.S.A.,SND,Box Office France,218290,"2,4","2,9",670563.0,35000000
