,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris
2027,the civil dead,2023-02-01,Comédie,1h 44min,Clay Tatum,"Clay Tatum, Whitmer Thomas","Clay Tatum, Whitmer Thomas, Whitney Weir",U.S.A.,Damned Distribution,Box Office France,1 371,"3,2","3,2",4534,0,5.72,7.46,5.88,4.49,5.76
2029,monte carlo,2011-08-24,"Comédie, Romance, Aventure",1h 49min,Thomas Bezucha,"Thomas Bezucha, Maria Maggenti","Selena Gomez, Katie Cassidy, Leighton Meester",U.S.A.,Twentieth Century Fox France,Box Office France,2 151,"1,5","3,0",98482,20000000,20.44,14.54,20.1,17.67,15.89
2030,police,2020-09-02,"Thriller, Drame",1h 39min,Anne Fontaine,"Anne Fontaine, Claire Barré","Omar Sy, Virginie Efira, Grégory Gadebois",France,StudioCanal,Box Office France,84 682,"3,3","2,2",502145,0,22.8,17.36,19.66,19.98,21.0
2031,the hobbit: the desolation of smaug,2013-12-11,"Fantastique, Aventure",2h 41min,Peter Jackson,"Peter Jackson, Philippa Boyens","Martin Freeman, Richard Armitage, Ian McKellen",U.S.A.,Warner Bros. France,Box Office France,1 619 507,"3,7","4,2",900096,250000000,13.61,4.06,7.18,4.09,2.73
2032,kokuriko-zaka kara,2012-01-11,"Animation, Drame, Famille",1h 32min,Goro Miyazaki,"Hayao Miyazaki, Keiko Niwa","Masami Nagasawa, Junichi Okada, Keiko Takeshita",Japon,The Walt Disney Company France,Box Office France,116 084,"3,4","4,0",1360499,22000000,2.75,4.82,2.38,1.08,3.49
2033,les estivants,2019-01-30,Comédie dramatique,2h 08min,Valeria Bruni Tedeschi,"Valeria Bruni Tedeschi, Agnès De Sacy","Valeria Bruni Tedeschi, Pierre Arditi, Valeria Golino",France,Ad Vitam,Box Office France,65 158,"3,2","2,3",140918,0,3.87,1.18,7.79,2.47,2.93
2034,hunter killer,2018-12-12,"Action, Thriller",2h 02min,Donovan Marsh,"Jamie Moss, Arne Schmidt","Gerard Butler, Gary Oldman,  Common",U.S.A.,Metropolitan FilmExport,Box Office France,50 126,"3,4",--,146948,40000000,12.77,2.98,8.05,0.62,2.19
2035,the raid 2,2014-07-23,"Action, Arts Martiaux",2h 30min,Gareth Evans,Gareth Evans,"Iko Uwais, Julie Estelle, Yayan Ruhian",Indonésie,The Jokers / Le Pacte,Box Office France,58 142,"3,7","4,1",741505,4500000,23.73,21.51,24.13,20.85,22.18
2036,last night,2011-02-16,"Drame, Romance",1h 32min,Massy Tadjedin,Massy Tadjedin,"Keira Knightley, Sam Worthington, Guillaume Canet",France,Gaumont Distribution,Box Office France,182 823,"2,7","2,6",1823652,7000000,5.78,3.72,8.58,5.94,3.68
2037,un français,2015-06-10,Drame,1h 38min,Diastème, Diastème,"Alban Lenoir, Samuel Jouy, Paul Hamy",France,Mars Films,Box Office France,31 574,"2,9","2,9",313299,0,19.74,18.5,17.08,19.92,19.22
2039,the danish girl,2016-01-20,"Drame, Biopic",1h 59min,Tom Hooper,Lucinda Coxon,"Eddie Redmayne, Alicia Vikander, Ben Whishaw",U.S.A.,Universal Pictures International France,Box Office France,118 481,"2,7","4,0",946501,15000000,5.75,5.87,11.1,4.5,4.28
2041,a little chaos,2015-05-06,"Drame, Romance, Historique",1h 57min,Alan Rickman,"Alison Deegan, Alan Rickman","Kate Winslet, Matthias Schoenaerts, Alan Rickman",Grande-Bretagne,Metropolitan FilmExport,Box Office France,70 538,"2,7","3,3",395402,0,16.52,16.67,17.09,15.9,13.95
2043,dirty difficult dangerous,2023-04-26,Drame,1h 23min,Wissam Charaf,"Wissam Charaf, Mariette Désert","Clara Couturet, Ziad Jallad, Darina Al Joundi",France,JHR Films,Box Office France,4 016,"3,8","3,3",71068,0,14.48,11.15,15.9,14.83,13.54
2044,repas de famille,2014-11-26,Comédie,1h 30min,Pierre-Henry Salfati,"Eric Carrière, Pierre-Henry Salfati","Eric Carrière, Francis Ginibre, Noëlle Perna",France,KapFilms,Box Office France,57 217,"2,2","1,6",239737,0,16.92,7.23,12.67,8.95,7.76
2047,albatros,2021-11-03,Drame,1h 55min,Xavier Beauvois,"Xavier Beauvois, Frédérique Moreau","Jérémie Renier, Marie-Julie Maille, Victor Belmondo",France,Pathé,Box Office France,47 815,"3,7","2,9",93076,0,14.9,6.85,8.71,7.05,7.88
2048,ducobu 3,2020-02-05,Comédie,1h 30min,Elie Semoun,"Guy Laurent, Marc de Chauveron","Elie Semoun, Mathys Gros, Émilie Caen",France,UGC Distribution,Box Office France,399 199,"2,3","1,4",419829,0,7.78,6.76,9.5,9.12,7.54
2049,mia et le lion blanc,2018-12-26,"Drame, Aventure",1h 37min,Gilles de Maistre,"William Davies, Prune de Maistre","Daniah De Villiers, Mélanie Laurent, Langley Kirkwood",France,StudioCanal,Box Office France,573 356,"3,1","3,9",712040,9600000,14.02,4.67,6.59,3.48,3.37
2054,the intern,2015-10-07,Comédie,2h 01min,Nancy Meyers,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo",U.S.A.,Warner Bros. France,Box Office France,170 117,"2,9","3,7",1240167,35000000,17.5,9.51,13.01,12.25,11.73
2055,she will,2022-11-30,Fantastique,1h 35min,Charlotte Colbert,"Kitty Percy, Charlotte Colbert","Alice Krige, Kota Eberhardt, Malcolm McDowell",Grande-Bretagne,Alba Films,Box Office France,554,"2,8","2,1",47048,0,13.1,3.52,5.51,4.56,3.89
2056,tomboy,2011-04-20,Drame,1h 22min,Céline Sciamma,Céline Sciamma,"Zoé Héran, Malonn Lévana, Jeanne Disson",France,Pyramide Distribution,Box Office France,60 550,"4,2","3,7",908911,1000000,16.76,17.58,16.63,15.45,18.14
2058,les hirondelles de kaboul,2019-09-04,Animation,1h 21min,Zabou Breitman,"Eléa Gobbé-Mévellec, Sebastien Tavel, Patricia Mortagne","Simon Abkarian, Zita Hanrot, Swann Arlaud",France,Memento Distribution,Box Office France,95 918,"3,8","3,9",484254,0,19.35,14.65,15.29,15.66,15.15
2059,tropique de la violence,2022-03-23,Drame,1h 32min,Manuel Schapira,"Manuel Schapira, Delphine De Vigan","Gilles-Alane Ngalamou Hippocrate, Céline Sallette, Dali Benssalah",France,Tandem,Box Office France,4 697,"2,5","3,1",85889,0,12.23,10.47,14.11,13.23,11.32
2060,mi iubita mon amour,2022-07-27,"Drame, Romance",1h 35min,Noémie Merlant,"Noémie Merlant, Gimi Covaci","Gimi Covaci, Noémie Merlant, Sanda Codreanu",France,Tandem,Box Office France,7 225,"3,4","2,8",18788,0,24.84,21.73,24.23,24.35,23.9
2062,the expendables 3,2014-08-20,Action,2h 07min,Patrick Hughes (II),"Sylvester Stallone, Creighton Rothenberger","Sylvester Stallone, Jason Statham, Arnold Schwarzenegger",U.S.A.,Metropolitan FilmExport,Box Office France,590 362,"2,6","3,0",1348075,95000000,19.53,12.64,18.75,17.41,14.86
2063,the chronicles of narnia: the voyage of the dawn treader,2010-12-08,"Aventure, Fantastique, Famille",1h 55min,Michael Apted,"Michael Petroni, Christopher Markus","Georgie Henley, Skandar Keynes, Ben Barnes",U.S.A.,Twentieth Century Fox France,Box Office France,706 165,"2,7","3,0",1735049,155000000,11.65,1.72,5.7,1.56,0.26
2064,un heureux événement,2011-09-28,Comédie dramatique,1h 50min,Rémi Bezançon,"Rémi Bezançon, Vanessa Portal","Louise Bourgoin, Pio Marmaï, Josiane Balasko",France,Gaumont Distribution,Box Office France,190 939,"3,1","3,5",2732814,0,22.81,17.29,20.05,18.63,19.07
2065,true grit,2011-02-23,"Western, Aventure, Drame",1h 50min,Ethan Coen,"Joel Coen, Joel Coen, Ethan Coen","Jeff Bridges, Hailee Steinfeld, Josh Brolin",U.S.A.,Paramount Pictures France,Box Office France,605 267,"4,0","3,9",1602167,0,6.74,5.24,7.57,5.46,7.42
2066,iron man 2,2010-04-28,"Action, Aventure, Science fiction",2h 04min,Jon Favreau,Justin Theroux,"Robert Downey Jr., Don Cheadle, Scarlett Johansson",U.S.A.,Paramount Pictures France,Box Office France,1 216 314,"3,1","3,4",3174540,200000000,14.0,12.13,13.95,15.21,11.71
2070,the angels' share,2012-06-27,Comédie dramatique,1h 41min,Ken Loach,Paul Laverty,"Paul Brannigan, John Henshaw, Gary Maitland",Grande-Bretagne,Le Pacte,Box Office France,171 832,"3,5","3,9",1463401,0,21.25,17.32,21.47,22.37,19.07
2071,the killing of a sacred deer,2017-11-01,"Drame, Fantastique",2h 01min,Yórgos Lánthimos,"Yórgos Lánthimos, Efthymis Filippou","Colin Farrell, Nicole Kidman, Barry Keoghan",Grande-Bretagne,Haut et Court,Box Office France,30 756,"2,9","3,2",256154,0,17.13,8.52,11.62,10.37,11.15
2072,el agua,2023-03-01,"Drame, Romance",1h 44min,Elena Lopez Riera,"Elena Lopez Riera, Philippe Azoury","Luna Pamies, Bárbara Lennie, Nieve de Medina",Espagne,Les Films du Losange,Box Office France,7 432,"3,5","2,8",6589,0,4.54,3.35,4.17,2.44,3.75
2073,"un peu, beaucoup, aveuglément",2015-05-06,"Comédie, Romance",1h 31min,Clovis Cornillac,"Lilou Fogli, Clovis Cornillac","Clovis Cornillac, Mélanie Bernier, Lilou Fogli",France,Paramount Pictures France,Box Office France,165 065,"3,4","3,6",1451668,0,16.52,16.67,17.09,15.9,13.95
2074,still life,2015-04-15,"Comédie, Drame",1h 27min,Uberto Pasolini,Uberto Pasolini,"Eddie Marsan, Joanne Froggatt, Karen Drury",Grande-Bretagne,Condor Distribution,Box Office France,40 291,"3,7","4,0",348328,0,13.98,11.98,14.99,12.43,14.51
2075,legend of the guardians - the owls of ga'hoole,2010-10-27,"Animation, Fantastique, Aventure",1h 39min,Zack Snyder,"John Orloff, Emil Stern","Jim Sturgess, Emily Barclay Ford, Abbie Cornish",U.S.A.,Warner Bros. France,Box Office France,324 593,"3,1","3,7",654636,80000000,17.49,10.8,11.86,10.72,11.08
2076,rare exports: a christmas tale,2011-12-14,"Action, Fantastique",1h 24min,Jalmari Helander,"Jalmari Helander, Petri Jokiranta","Onni Tommila, Jorma Tommila, Per Christian Ellefsen",France,Chrysalis Films,Box Office France,1 363,"3,3","2,3",880570,0,14.42,4.47,8.29,4.36,4.97
2077,gli anni più belli,2021-12-29,"Comédie dramatique, Drame, Comédie",2h 15min,Gabriele Muccino,"Gabriele Muccino, Paolo Costella","Pierfrancesco Favino, Micaela Ramazzotti, Kim Rossi Stuart",Italie,ARP Sélection,Box Office France,21 010,"3,1","3,5",220175,0,19.16,11.33,12.88,9.01,10.57
2080,12 strong,2018-01-31,Guerre,2h 11min,Nicolai Fuglsig,"Peter Craig, Ted Tally","Chris Hemsworth, Michael Shannon, Michael Peña",U.S.A.,Metropolitan FilmExport,Box Office France,58 961,"3,0","3,6",219142,35000000,3.99,3.85,4.78,3.94,2.39
2081,le prix du passage,2023-04-12,"Thriller, Drame",1h 40min,Thierry Binisti,"Sophie Gueydon, Pierre Chosson","Alice Isaaz, Adam Bessa, Ilan Debrabant",France,Diaphana Distribution,Box Office France,5 410,"3,1","2,4",88563,2000000,11.13,8.03,12.42,10.19,9.99
2083,seven psychopaths,2013-01-30,"Comédie, Action",1h 50min,Martin McDonagh,Martin McDonagh,"Colin Farrell, Woody Harrelson, Abbie Cornish",Grande-Bretagne,Wild Side Films / Le Pacte,Box Office France,92 089,"2,3","3,0",542589,15000000,7.65,7.2,11.18,6.87,8.02
2084,anna karenina,2012-12-05,Drame,2h 11min,Joe Wright,Tom Stoppard,"Keira Knightley, Jude Law, Aaron Taylor-Johnson",Grande-Bretagne,Universal Pictures International France,Box Office France,106 900,"3,2","3,2",1253885,0,11.94,2.17,4.4,1.31,2.84
2085,how to train your dragon 2,2014-07-02,"Animation, Aventure, Famille",1h 43min,Dean DeBlois,Dean DeBlois,"Donald Reignoux, Jay Baruchel, Cate Blanchett",U.S.A.,Twentieth Century Fox France,Box Office France,1 340 940,"4,0","4,2",665759,145000000,21.2,17.1,20.15,21.57,20.17
2086,widows,2018-11-28,"Thriller, Drame",2h 09min,Steve McQueen (II),"Gillian Flynn, Steve McQueen (II)","Viola Davis, Michelle Rodriguez, Elizabeth Debicki",Grande-Bretagne,Twentieth Century Fox France,Box Office France,210 256,"3,7","3,4",732993,42000000,17.93,11.3,11.13,7.92,11.29
2088,jodaeiye nader az simin,2011-06-08,Drame,2h 03min,Asghar Farhadi,Asghar Farhadi,"Leila Hatami, Payman Maadi, Shahab Hosseini",Iran,Memento Distribution,Box Office France,151 217,"4,7","4,1",1234062,5000000,17.56,14.15,15.86,18.73,16.06
2089,heartbeast,2023-02-22,"Thriller, Drame",1h 43min,Aino Suni,Aino Suni,"Elsi Sloan, Carmen Kassovitz, Lucille Guillaume",France,Wayna Pitch,Box Office France,18,"2,8","2,6",4935,2434000,5.69,4.78,5.45,5.07,5.13
2090,nos résistances,2011-01-05,"Drame, Historique",1h 26min,Romain Cogitore,Romain Cogitore,"François Civil, Michel Vuillermoz, Grégoire Colin",France,Shellac,Box Office France,1 944,"2,5","3,3",65265,2637436,5.68,4.19,8.57,7.44,7.21
2091,belle et sébastien,2013-12-18,"Aventure, Famille",1h 44min,Nicolas Vanier,"Fabien Suarez, Juliette Sales","Félix Bossuet, Tchéky Karyo, Margaux Chatelier",France,Gaumont Distribution,Box Office France,683 604,"2,8","4,0",994308,0,16.58,6.89,7.94,9.51,7.56
2093,an,2016-01-27,"Drame, Comédie",1h 53min,Naomi Kawase,Naomi Kawase,"Kiki Kirin, Masatoshi Nagase, Kyara Uchida",France,Haut et Court,Box Office France,67 743,"3,9","4,0",345054,0,8.44,9.35,11.23,9.15,8.47
2094,"bruno reidal, confession d'un meurtrier",2022-03-23,"Drame, Historique",1h 41min,Vincent Le Port,Vincent Le Port,"Dimitri Doré, Jean-Luc Vincent, Roman Villedieu",France,Capricci Films,Box Office France,4 760,"4,1","3,7",68731,1900000,12.23,10.47,14.11,13.23,11.32
2098,arctic,2019-02-06,"Aventure, Thriller",1h 37min,Joe Penna,"Joe Penna, Ryan Morrison","Mads Mikkelsen, Maria Thelma Smáradóttir, Tintrinai Thikhasuk",Islande,The Jokers / Les Bookmakers,Box Office France,31 579,"3,3","3,5",409485,2000000,6.77,7.08,9.67,4.24,6.88
2099,mr. peabody & sherman,2014-02-12,"Animation, Aventure, Famille",1h 32min,Rob Minkoff,"Craig Wright, Rob Minkoff","Guillaume Gallienne, Ty Burrell, Jules Timmerman",U.S.A.,Twentieth Century Fox France,Box Office France,285 232,"3,5","3,7",829098,145000000,8.12,7.17,11.6,8.44,6.39
2104,get him to the greek,2010-09-01,"Comédie, Musical",1h 49min,Nicholas Stoller,"Jason Segel, Nicholas Stoller","Jonah Hill, Russell Brand, Sean Combs",U.S.A.,Universal Pictures International France,Box Office France,18 218,"3,2","2,8",609102,40000000,21.54,15.34,21.36,17.79,18.2
2106,la fête est finie,2018-02-28,Drame,1h 33min,Marie Garel-Weiss,"Marie Garel-Weiss, Salvatore Lista","Zita Hanrot, Clémence Boisnard, Michel Muller",France,Pyramide Distribution,Box Office France,15 659,"3,4","3,8",254874,0,6.03,1.68,9.88,6.17,3.4
2107,jack et la mécanique du cœur,2014-02-05,"Animation, Drame, Aventure",1h 34min,Mathias Malzieu,"Stéphane Berla, Stéphane Berla, Mathias Malzieu","Mathias Malzieu, Olivia Ruiz,  Grand Corps Malade",France,EuropaCorp Distribution,Box Office France,195 432,"3,5","3,9",693481,33746302,7.07,6.51,8.57,6.65,7.64
2108,bridesmaids,2011-08-10,"Comédie, Romance",2h 05min,Paul Feig,"Annie Mumolo, Kristen Wiig","Kristen Wiig, Rose Byrne, Maya Rudolph",U.S.A.,Universal Pictures International France,Box Office France,222 753,"3,9","3,0",2472419,32500000,21.98,16.92,20.72,20.27,19.99
2109,#jesuislà,2020-02-05,"Comédie, Romance",1h 38min,Eric Lartigau,"Eric Lartigau, Thomas Bidegain","Alain Chabat, Doona Bae, Blanche Gardin",France,Gaumont Distribution,Box Office France,112 363,"3,0","2,4",416589,Erreur lors de la requête API 2.,7.78,6.76,9.5,9.12,7.54
2111,run all night,2015-03-11,"Action, Policier, Drame",1h 54min,Jaume Collet-Serra,Brad Ingelsby,"Liam Neeson, Ed Harris, Joel Kinnaman",U.S.A.,Warner Bros. France,Box Office France,213 970,"2,5","3,3",634638,50000000,8.78,5.75,9.37,9.74,8.04
2112,deliver us from evil,2014-09-03,"Thriller, Epouvante-horreur, Policier",1h 59min,Scott Derrickson,"Paul Harris Boardman, Scott Derrickson","Eric Bana, Édgar Ramírez, Olivia Munn",U.S.A.,Sony Pictures Releasing France,Box Office France,143 362,"2,4","3,3",316327,12000000,23.08,17.62,20.2,21.08,20.49
2115,richard the stork and the mystery of the great jewel,2023-04-12,"Animation, Famille, Aventure",1h 25min,Mette Rank-Tange,"Benjamin Quabeck, Reza Memari, Philip LaZebnik","Jay Myers, Jonathan Failla, Jeffrey Hylton",Allemagne,Paradis Films,Box Office France,37 459,"3,3","2,2",110522,0,11.13,8.03,12.42,10.19,9.99
2116,l'ecole buissonnière,2017-10-11,"Drame, Comédie",1h 56min,Nicolas Vanier,"Jérôme Tonnerre, Nicolas Vanier","François Cluzet, Eric Elmosnino, François Berléand",France,StudioCanal,Box Office France,351 303,"2,7","4,0",805829,0,21.58,15.96,17.23,17.72,16.01
2118,only lovers left alive,2014-02-19,"Romance, Drame",2h 03min,Jim Jarmusch,Jim Jarmusch,"Tom Hiddleston, Tilda Swinton, Mia Wasikowska",Allemagne,Le Pacte,Box Office France,102 358,"3,9","3,8",708948,7000000,8.6,9.35,9.29,8.24,8.14
2119,disparue en hiver,2015-01-21,"Thriller, Drame",1h 40min,Christophe Lamotte,"Christophe Lamotte, Pierre Chosson","Kad Merad, Géraldine Pailhas, Lola Creton",France,Rezo Films,Box Office France,29 265,"2,7","2,3",207625,0,2.6,1.92,2.85,1.93,2.31
2123,ghahreman,2021-12-15,"Thriller, Drame",2h 08min,Asghar Farhadi,Asghar Farhadi,"Amir Jadidi, Mohsen Tanabandeh, Fereshteh Sadre Orafaee",Iran,Memento Distribution,Box Office France,64 589,"4,0","3,8",161253,0,13.35,5.03,4.58,1.69,5.46
2124,around the world in 80 days,2021-08-04,"Animation, Aventure, Famille",1h 23min,Samuel Tourneux,"Gerry Swallow, David Michel","Damien Ferrette, Damien Ferrette, Julien Crampon",France,StudioCanal,Box Office France,163 520,"3,3","2,1",80463,110000000,21.18,17.66,20.0,19.32,17.91
2125,iron man 3,2013-04-24,"Action, Science fiction",2h 11min,Shane Black,"Shane Black, Drew Pearce","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",U.S.A.,The Walt Disney Company France,Box Office France,2 064 740,"3,2","3,8",10931039,200000000,12.6,10.48,14.37,11.3,9.86
2126,solace,2015-09-09,"Thriller, Policier, Drame",1h 42min,Afonso Poyart,"Sean Bailey, Ted Griffin","Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish",U.S.A.,SND,Box Office France,329 959,"2,8","3,4",1351037,0,21.26,14.6,20.07,17.59,17.03
2127,earwig,2023-01-18,Drame,1h 54min,Lucile Hadzihalilovic,"Lucile Hadzihalilovic, Geoff Cox","Paul Hilton, Romane Hemelaers, Romola Garai",France,New Story,Box Office France,1 724,"3,6","2,7",59120,0,1.73,1.7,1.29,0.82,1.84
2129,dear john,2010-03-31,"Drame, Guerre, Romance",1h 45min,Lasse Hallström,Jamie Linden,"Channing Tatum, Amanda Seyfried, Richard Jenkins",U.S.A.,Metropolitan FilmExport,Box Office France,78 863,"3,5","3,5",863598,25000000,9.29,7.88,9.48,8.18,7.89
2130,lost river,2015-04-08,"Drame, Thriller, Fantastique",1h 35min,Ryan Gosling,Ryan Gosling,"Christina Hendricks, Saoirse Ronan, Matt Smith (XI)",U.S.A.,The Jokers / Le Pacte,Box Office France,69 744,"3,3","2,9",994483,2000000,13.64,12.3,14.89,14.66,11.34
2131,un monde,2022-01-26,Drame,1h 15min,Laura Wandel,Laura Wandel,"Maya Vanderbeque, Günter Duret, Karim Leklou",Belgique,Tandem,Box Office France,15 718,"3,8","3,7",149204,1183025,4.07,5.31,4.04,-0.24,7.22
2132,ice age: collision course,2016-07-13,"Animation, Famille",1h 34min,Mike Thurmeier,"Galen T. Chu, Michael J. Wilson, Michael Berg","Gérard Lanvin, Ray Romano, Elie Semoun",U.S.A.,Twentieth Century Fox France,Box Office France,1 232 859,"3,0","2,7",495728,105000000,21.89,19.89,22.06,20.05,19.46
2135,la jauría,2023-03-22,Drame,1h 26min,Andrés Ramirez Pulido,Andrés Ramirez Pulido,"Jhojan Estiven Jimenez, Maicol Andrés Jimenez Zarabanda, Wismer Vasquez",Colombie,Pyramide Distribution,Box Office France,2 876,"3,5","3,2",83374,0,11.13,8.32,12.74,11.92,10.68
2136,tout le monde debout,2018-03-14,"Comédie, Romance",1h 49min,Franck Dubosc,Franck Dubosc,"Franck Dubosc, Alexandra Lamy, Elsa Zylberstein",France,Gaumont Distribution,Box Office France,897 452,"3,6","3,9",954660,7000000,7.25,5.55,7.16,7.85,4.69
2137,dheepan,2015-08-26,Drame,1h 55min,Jacques Audiard,"Jacques Audiard, Noé Debré","Antonythasan Jesuthasan, Kalieaswari Srinivasan, Claudine Vinasithamby",France,UGC Distribution,Box Office France,212 472,"3,6","3,7",638026,0,24.74,19.38,22.74,26.35,20.21
2139,mi obra maestra,2019-02-06,Comédie dramatique,1h 41min,Gastón Duprat,Andrés Duprat,"Guillermo Francella, Luis Brandoni, Raúl Arévalo",Espagne,Eurozoom,Box Office France,6 603,"3,5","3,9",21861,0,6.77,7.08,9.67,4.24,6.88
2140,saving mr. banks,2014-03-05,"Biopic, Drame, Comédie",2h 05min,John Lee Hancock,"Kelly Marcel, Sue Smith","Tom Hanks, Emma Thompson, Paul Giamatti",U.S.A.,The Walt Disney Company France,Box Office France,137 770,"3,5","4,2",795676,35000000,8.87,7.87,10.33,8.24,7.92
2141,the duke,2022-05-11,"Biopic, Comédie, Drame",1h 35min,Roger Michell,"Richard Bean, Clive Coleman","Jim Broadbent, Helen Mirren, Fionn Whitehead",Grande-Bretagne,Pathé,Box Office France,54 622,"3,5","3,8",37811,11000000,19.76,18.41,21.05,21.76,18.59
2142,the king of staten island,2020-07-22,"Comédie, Drame",2h 17min,Judd Apatow,"Judd Apatow, Dave Sirus","Pete Davidson, Marisa Tomei, Bill Burr",U.S.A.,Universal Pictures International France,Box Office France,14 320,"3,8","3,8",81686,0,23.62,18.53,21.41,26.48,21.67
2143,murder party,2022-03-09,"Comédie, Policier",1h 43min,Nicolas Pleskof,"Nicolas Pleskof, Elsa Marpeau","Alice Pol,  Miou-Miou, Eddy Mitchell",France,Bac Films,Box Office France,41 645,"2,9","2,0",336536,0,9.99,9.56,11.54,9.89,8.97
2144,never let me go,2011-03-02,"Drame, Romance",1h 43min,Mark Romanek,Alex Garland,"Carey Mulligan, Andrew Garfield, Keira Knightley",U.S.A.,Twentieth Century Fox France,Box Office France,37 774,"3,1","3,4",716320,15000000,6.02,2.97,9.85,3.68,4.58
2145,alice through the looking glass,2016-06-01,"Fantastique, Comédie, Famille",1h 53min,James Bobin,Linda Woolverton,"Mia Wasikowska, Johnny Depp, Lindsay Duncan",U.S.A.,The Walt Disney Company France,Box Office France,455 543,"2,7","3,5",558044,170000000,18.27,16.24,20.79,17.71,14.6
2146,aus dem nichts,2018-01-17,"Drame, Thriller",1h 46min,Fatih Akın,"Fatih Akın, Hark Bohm","Diane Kruger, Denis Moschitto, Numan Acar",Allemagne,Pathé,Box Office France,127 128,"2,9","3,6",278325,0,6.79,5.41,10.67,8.32,6.53
2147,supernova,2021-09-08,"Drame, Romance",1h 34min,Harry Macqueen,Harry Macqueen,"Colin Firth, Stanley Tucci, Pippa Haywood",Grande-Bretagne,KMBO,Box Office France,11 765,"3,3","3,4",86982,0,23.55,18.62,22.11,20.1,20.92
2148,thor: the dark world,2013-10-30,"Action, Fantastique, Aventure",1h 52min,Alan Taylor,"Christopher Yost, Christopher Markus","Chris Hemsworth, Natalie Portman, Tom Hiddleston",U.S.A.,The Walt Disney Company France,Box Office France,1 159 433,"2,8","3,4",814122,170000000,17.7,10.27,12.38,11.25,10.61
2149,fastlife,2014-07-16,Comédie,1h 31min,Thomas Ngijol,"Thomas Ngijol, Mohamed Issolah","Thomas Ngijol, Karole Rocher, Julien Boisselier",France,EuropaCorp Distribution,Box Office France,194 754,"2,7","1,8",670191,0,23.57,20.86,21.78,22.28,23.92
2153,blanche comme neige,2019-04-10,Comédie,1h 52min,Anne Fontaine,"Anne Fontaine, Pascal Bonitzer","Lou de Laâge, Isabelle Huppert, Charles Berling",France,Gaumont Distribution,Box Office France,35 275,"3,2","2,4",344486,0,9.97,9.15,10.83,9.86,5.03
2154,ils sont partout,2016-06-01,Comédie,1h 51min,Yvan Attal,"Yvan Attal, Emilie Frèche","Yvan Attal, Benoît Poelvoorde, Valérie Bonneton",France,Wild Bunch Distribution,Box Office France,100 097,"2,2","1,6",532719,0,18.27,16.24,20.79,17.71,14.6
2155,little boy,2017-05-10,"Aventure, Famille",1h 46min,Alejandro Monteverde,"Alejandro Monteverde, Pepe Portillo","Jakob Salvati, Emily Watson, Cary-Hiroyuki Tagawa",U.S.A.,Saje Distribution,Box Office France,9 951,"2,9","3,8",441913,20000000,17.62,18.22,18.74,14.57,17.59
2156,le dernier voyage,2021-05-19,"Science fiction, Aventure, Drame",1h 27min,Romain Quirot,Romain Quirot,"Hugo Becker, Jean Reno, Paul Hamy",France,Tandem,Box Office France,18 373,"2,9","2,4",160778,0,14.15,11.96,13.39,13.61,11.81
2157,high life,2018-11-07,Science fiction,1h 53min,Claire Denis,"Claire Denis, Jean-Pol Fargeau","Robert Pattinson, Juliette Binoche, André Benjamin",France,Wild Bunch Distribution,Box Office France,18 950,"3,1","2,1",158243,8933400,18.37,9.39,12.25,14.19,11.04
2158,les seigneurs,2012-09-19,Comédie,1h 37min,Olivier Dahan,"Philippe de Chauveron, Marc de Chauveron","José Garcia, Jean-Pierre Marielle, Franck Dubosc",France,Warner Bros. France,Box Office France,106 416,"2,6","2,0",8428625,0,18.97,10.67,18.48,15.41,12.29
2160,pompeii,2014-02-19,"Action, Aventure",1h 45min,Paul W.S. Anderson,"Paul W.S. Anderson, Janet Scott Batchler","Kit Harington, Carrie-Anne Moss, Emily Browning",Allemagne,SND,Box Office France,338 692,"2,6","2,4",791766,100000000,8.6,9.35,9.29,8.24,8.14
2161,the fourth kind,2010-07-28,"Thriller, Science fiction",1h 38min,Olatunde Osunsanmi,"Olatunde Osunsanmi, Terry Robbins","Milla Jovovich, Will Patton, Elias Koteas",U.S.A.,Metropolitan FilmExport,Box Office France,90 911,"1,9","2,4",638035,10000000,22.26,17.72,21.35,22.03,20.18
2162,une vie de chat,2010-12-15,"Animation, Policier",1h 10min,Alain Gagnol,"Jean-Loup Felicioli, Alain Gagnol","Dominique Blanc, Bruno Salomone, Jean Benguigui",France,Folimage Studio,Box Office France,100 469,"3,6","3,8",709975,0,11.19,-0.75,4.26,0.91,1.52
2163,monsters,2010-12-01,"Science fiction, Epouvante-horreur, Drame",1h 33min,Gareth Edwards (V),Gareth Edwards (V),"Whitney Able, Scoot McNairy, Annalee Jefferies",Grande-Bretagne,SND,Box Office France,45 565,"3,4","2,6",567471,500000,10.03,-2.39,6.07,-1.06,-0.45
2165,far from the madding crowd,2015-06-03,"Drame, Romance, Historique",1h 59min,Thomas Vinterberg,David Nicholls,"Carey Mulligan, Matthias Schoenaerts, Michael Sheen",Grande-Bretagne,Twentieth Century Fox France,Box Office France,51 025,"3,3","3,8",599489,0,20.87,14.2,22.17,25.21,19.78
