,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
7864,rondo,2012-03-28,Drame,1h 33min,Olivier Van Malderghem,Olivier Van Malderghem,"Jean-Pierre Marielle, Julien Frison, Aurore Clément",Belgique,Eurozoom,Box Office France,873,"2,9","2,2",21978,0
7866,le pantin,2016-09-14,"Drame, Thriller",1h 24min,Mallory Grolleau,Mallory Grolleau,"Philippe Gouin, Aurore Laloy, Daniel Berlioux",France,Cinéma Saint-André des Arts,Box Office France,75,"2,7","3,3",6707,0
7867,hatuna meniyar,2017-04-19,Drame,1h 22min,Nitzan Gilady,Nitzan Gilady,"Moran Rosenblatt, Assi Levy, Roy Assaf",Israël,Bodega Films,Box Office France,782,"3,4","3,8",6369,0
7869,sympathy for delicious,2013-05-08,Comédie dramatique,1h 46min,Mark Ruffalo,Christopher Thornton,"Christopher Thornton, Mark Ruffalo, Juliette Lewis",U.S.A.,Films sans Frontières,Box Office France,1 520,"2,3","2,5",14204,0
7870,aanrijding in moscou,2008-11-19,"Comédie dramatique, Romance",1h 42min,Christophe Van Rompaey,"Jean-Claude Van Rijckeghem, Pat van Beirs","Barbara Sarafian, Jurgen Delnaet, Johan Heldenbergh",Belgique,Bac Films,Box Office France,30,"3,7","3,7",35449,560000
7874,ali ha gli occhi azzurri,2014-04-30,Drame,1h 39min,Claudio Giovannesi,"Claudio Giovannesi, Filippo Gravino","Nader Sarhan, Stefano Rabatti, Brigitte Apruzzesi",Italie,Bellissima Films,Box Office France,5 549,"3,1","3,5",13053,0
7875,the delegation,2020-07-22,Historique,,Bujar Alimani,Artan Minarolli,"Viktor Zhusti, Ndriçim Xhepa, Xhevdet Ferri",Albanie,Next Film Distribution,Box Office France,89,"3,0",--,5520,0
7876,l'ospite,2019-07-10,Comédie,1h 34min,Duccio Chiarini,"Duccio Chiarini, Roan Johnson","Daniele Parisi, Silvia D'Amico, Anna Bellato",Italie,Urban Distribution,Box Office France,837,"2,9","3,0",7871,0
7877,n.o.l.a circus,2016-09-28,Comédie,1h 25min,Luc Annest,Luc Annest,"Jessica Morali, Martin Bats Bradford, Kamille McCuin",France,Destiny Films,Box Office France,303,"1,8","2,8",39994,0
7878,mirage d'amour avec fanfare,2016-03-23,"Drame, Historique",1h 37min,Hubert Toint,Bernard Giraudeau,"Marie Gillain, Jean-François Stévenin, Eduardo Paxeco",Belgique,KapFilms,Box Office France,84,"1,3","2,4",6927,0
7879,jug-yeo-ju-neun yeo-ja,2018-08-01,Drame,1h 50min,Je-yong Lee,Je-yong Lee,"Yuh-Jung Youn, Chon Moo-song, Kyesang Yoon",Corée du Sud,ASC Distribution,Box Office France,1 586,"2,5","3,6",7042,0
7880,ewa,2017-03-22,"Drame, Romance",1h 25min,Haim Tabakman,"Haim Tabakman, Amit Ron","Avi Kushnir, Efrat-Ben Tzur, Gil Frank",Israël,Les Films du Lendemain,Box Office France,132,"2,9",--,3754,0
7881,rodinny film,2018-11-07,Drame,1h 34min,Olmo Omerzu,"Olmo Omerzu, Nebojsa Pop Tasic","Karel Roden, Vanda Hybnerová, Daniel Kadlec",République tchèque,Rouge Distribution,Box Office France,106,"2,7","3,2",6220,0
7882,abluka,2016-11-23,Drame,1h 59min,Emin Alper,Emin Alper,"Mehmet Özgür, Berkay Ateş, Tülin Özen",France,Nour Films,Box Office France,1 654,"3,0","3,2",2705,0
7883,el misterio de la felicidad,2014-10-29,"Comédie, Romance, Drame",1h 32min,Daniel Burman,"Daniel Burman, Sergio Dubcovsky","Guillermo Francella, Fabián Arenillas, Inés Estévez",Argentine,Eurozoom,Box Office France,8 760,"3,2","2,8",17857,0
7884,hayuta ve berl,2014-06-18,Drame,1h 36min,Amir Manor,Amir Manor,"Yosef Carmon, Rivka Gur, Efrat Aviv",Israël,Dulac Distribution,Box Office France,2 225,"3,4","3,7",4834,Erreur lors de la requête API 2.
7885,anni felici,2014-05-28,Drame,1h 46min,Daniele Luchetti,"Sandro Petraglia, Stefano Rulli","Kim Rossi Stuart, Micaela Ramazzotti, Martina Gedeck",Italie,Bellissima Films,Box Office France,10 747,"3,1","3,2",210742,0
7886,ma belle gosse,2013-09-11,Comédie dramatique,1h 20min,Shalimar Preuss,Shalimar Preuss,"Lou Aziosmanoff, Jocelyn Lagarrigue, Victor Laforge",France,Nour Films,Box Office France,1 010,"2,9","2,8",10747,0
7887,als wir träumten,2016-02-03,Drame,1h 57min,Andreas Dresen,Wolfgang Kohlhaase,"Merlin Rose, Julius Nitschkoff, Joel Basman",Allemagne,Dulac Distribution,Box Office France,6 436,"2,5","2,9",197962,0
7888,keyhole,2012-02-22,"Fantastique, Drame, Thriller",1h 34min,Guy Maddin,"Guy Maddin, George Toles","Jason Patric, Isabella Rossellini, Udo Kier",Canada,Ed Distribution,Box Office France,1 420,"3,3","2,6",21813,0
7889,a travers les branches d'un arbre,2012-01-18,Drame,1h 36min,Daniel Duqué,"Daniel Duqué, Amina Mehiri","Philippe Le Gall, Laetitia Spigarelli, Claude Thébert",Suisse,Merlin Films,Box Office France,22,"1,7","2,9",16426,0
7892,le roi d'ici,2019-11-13,Comédie,1h 35min,Avénarius d’Ardronville,Avénarius d’Ardronville,"Nicolas de Lavergne, Fabrice Carlier, Barnabé Perrotey",France,Cinéma Saint-André des Arts,Box Office France,104,"2,9",--,6906,0
7893,kyatapirâ,2010-12-01,Drame,1h 25min,Koji Wakamatsu,"Hisako Kurosawa, Koji Wakamatsu","Shinobu Terajima, Shima Ohnishi, Ken Yoshizawa",Japon,Blaq Out,Box Office France,840,"3,5","3,4",22978,0
7894,"laurette 1942, une volontaire au camp du récébédou",2016-04-06,"Drame, Guerre",1h 37min,Francis Fourcou,"Francis Fourcou, Marc Khanne","Philippe Caubère, Anne Liabeuf, Barbara Tobola",France,Ecransud Distribution,Box Office France,64,"3,3","2,8",4423,0
7895,fon tok kuen fah,2012-10-31,"Thriller, Action",1h 50min,Pen-ek Ratanaruang,Pen-ek Ratanaruang,"Nopachai Chaiyanam, Chanokporn Sayoung, Apisit Opasaimlikit",France,Wild Side Films / Le Pacte,Box Office France,1 463,"3,2","2,8",583731,0
7896,el motoarrebatador,2019-04-03,"Drame, Judiciaire",1h 33min,Agustin Toscano,Agustin Toscano,"Sergio Prina, Liliana Juarez, Leon Zelarayan",Argentine,Les Acacias,Box Office France,3 183,"3,5","3,2",69773,0
7897,sykt lykkelig,2011-07-27,Comédie dramatique,1h 28min,Anne Sewitsky,Ragnhild Tronvoll,"Agnes Kittelsen, Henrik Rafaelsen, Joachim Rafaelsen",Norvège,Happiness Distribution,Box Office France,11 709,"2,9","3,3",227687,0
7898,soy nero,2016-09-21,Drame,1h 58min,Rafi Pitts,"Rafi Pitts, Razvan Radulescu","Johnny Ortiz, Rory Cochrane, Aml Ameen",Allemagne,Dulac Distribution,Box Office France,10 207,"3,8","3,0",101739,0
7899,paha perhe,2011-03-30,Drame,1h 30min,Aleksi Salmenperä,Aleksi Salmenperä,"Ville Virtanen, Lauri Tilkanen, Pihla Viitala",Finlande,Jour2fête,Box Office France,2 356,"2,9","2,7",19551,0
7900,stalingrad lovers,2014-01-29,Drame,1h 22min,Fleur Albert,"Fleur Albert, Laurent Roth","Jean-Patrick Kone, Carole Eugenie, Jean-Paul Edwiges",France,NiZ !,Box Office France,299,"3,1","3,1",34288,0
7902,l'equilibrio,2019-12-25,"Drame, Thriller",1h 30min,Vincenzo Marra,Vincenzo Marra,"Mimmo Borrelli, Roberto Del Gaudio, Giuseppe D'Ambrosio",Italie,Les Films du Camelia,Box Office France,425,"3,0","2,6",2420,0
7903,the bra,2019-09-11,Comédie dramatique,1h 30min,Veit Helmer,"Leonie Geisinger, Veit Helmer","Predrag 'Miki' Manojlovic, Denis Lavant, Paz Vega",Allemagne,Bodega Films,Box Office France,1 139,"2,8","3,4",8192,0
7904,ladygrey,2015-05-06,Drame,1h 49min,Alain Choquart,"Alain Choquart, Laurence Coriat","Peter Sarsgaard, Jérémie Renier, Emily Mortimer",France,Rezo Films,Box Office France,3 117,"2,8","2,3",168178,0
7905,les fraises des bois,2012-04-18,Drame,1h 48min,Dominique Choisy,Dominique Choisy,"Juliette Damiens, Julien Lambert, Stéphane Lara",France,Contre-Allée Distribution,Box Office France,2 519,"2,9","2,2",51373,0
7906,cadences obstinées,2014-01-08,"Drame, Romance",1h 41min,Fanny Ardant,Fanny Ardant,"Asia Argento, Franco Nero, Ricardo Pereira",France,Alfama Films,Box Office France,3 990,"2,2","1,7",22620,0
7907,le chanteur,2016-01-27,Drame,1h 40min,Rémi Lange,Rémi Lange,"Thomas Polly, Thérèse Lanfranca, Annie Alba",France,Destiny Films,Box Office France,75,"2,6","2,4",6227,0
7908,the dirty picture,2012-07-04,"Drame, Comédie musicale",2h 20min,Milan Luthria,Rajat Arora,"Vidya Balan, Emraan Hashmi, Imran Hasnee",Inde,Night ed films,Box Office France,359,"3,2","3,0",16366,2600000
7909,somebody up there likes me,2013-01-23,Comédie,1h 16min,Bob Byington,Bob Byington,"Nick Offerman, Keith Poulson, Jess Weixler",U.S.A.,Why Not Productions,Box Office France,807,"3,0","3,0",24126,1920000
7910,isola,2017-12-06,Drame,1h 30min,Fabianny Deschamps,Fabianny Deschamps,"Yilin Yang, Yassine Fadel, Enrico Roccaforte",France,La Huit,Box Office France,236,"2,6","3,3",5071,0
7912,huo zhe chang zhe,2019-11-20,Drame,1h 45min,Johnny Ma,Johnny Ma,"Zhao Xiaoli, Gan Guidan, Liu Min",Chine,Epicentre Films,Box Office France,5 088,"3,3","2,9",98133,0
7913,eden,2001-08-29,Drame,1h 31min,Amos Gitaï,Amos Gitaï,"Samantha Morton, Thomas Jane, Luke Holland",France,Cinévia Films,Box Office France,25 434,"3,0","2,3",1458,0
7914,curling,2011-10-26,Drame,1h 32min,Denis Côté,Denis Côté,"Philomène Bilodeau, Roc LaFortune, Sophie Desmarais",Canada,Les Bookmakers / Capricci Films,Box Office France,2 991,"3,4","2,5",43123,0
7915,perl oder pica,2009-05-06,Drame,1h 26min,Pol Cruchten,"Viviane Thill, François Dupeyron","Ben Hoscheit, André Jung, Nicole Max",Luxembourg,Quinta Communications,Box Office France,318,"2,7","3,2",19550,0
7916,noces éphémères,2011-11-09,Drame,1h 23min,Reza Serkanian,Reza Serkanian,"Mahnaz Mohammadi, Hossein Farzi Zadeh, Javad Taheri",France,Jupiter Films,Box Office France,5 781,"3,4","3,2",58031,0
7917,les oiseaux du ciel,2009-07-08,Drame,1h 48min,Eliane de Latour,Eliane de Latour,"Fraser James, Marie-Josée Croze, Djedje Apali",France,Shellac,Box Office France,2 721,"3,3","2,4",23718,0
7918,happy ever afters,2009-10-21,"Comédie, Romance",1h 45min,Stephen Burke,Stephen Burke,"Sally Hawkins, Tom Riley, Ariyon Bakare",Irlande,Haut et Court,Box Office France,5 147,"1,6","2,7",61680,0
7919,diari,2010-09-08,"Comédie, Romance",1h 30min,Attilio Azzola,"Attilio Azzola, M. Nuzzo","Roisin Grieco, Amine Slimane, Antonio Sommella",Italie,Les Films Aramis,Box Office France,330,"2,2","2,6",34325,0
7920,teza,2010-04-28,Drame,2h 20min,Haile Gerima,Haile Gerima,"Aaron Arefe, Abeye Tedla, Takelech Beyene",Ethiopie,Atlantis,Box Office France,1 024,"3,7","3,7",23468,0
7922,der samurai,2015-07-15,"Fantastique, Epouvante-horreur, Thriller",1h 19min,Till Kleinert,Till Kleinert,"Michel Diercks, Pit Bukowski, Uwe Preuss",Allemagne,Zootrope Films,Box Office France,1 254,"2,8","2,6",99323,0
7923,the theory of love,2013-07-10,Comédie,1h 17min,Jay Oswald,Jay Oswald,"Clément Chauvin, Sheila Coren-Tissot, Claire Counil",France,Les Films du jour,Box Office France,83,"1,8","3,1",4609,0
7924,când se lasa seara peste bucuresti sau metabolism,2014-04-16,Drame,1h 29min,Corneliu Porumboiu,Corneliu Porumboiu,"Diana Avrămuţ, Bogdan Dumitrache, Mihaela Sîrbu",Roumanie,Zootrope Films,Box Office France,1 326,"3,6","2,6",7392,0
7925,hunting elephants,2014-10-29,"Comédie, Policier",1h 48min,Reshef Regev Levi,"Reshef Regev Levi, Regev Levi","Sasson Gabai, Moni Moshonov, Patrick Stewart",U.S.A.,Ouragan films,Box Office France,3 893,"2,9","2,9",304618,2300000
7926,too much love will kill you,2013-01-23,Drame,1h 47min,Christophe Karabache,Christophe Karabache,"Marina Kitaeva, Christophe Karabache, Joelle Hélary",Liban,VisioSfeir,Box Office France,205,"1,3","2,3",76202,0
7927,die lebenden,2014-03-19,Drame,1h 52min,Barbara Albert,Barbara Albert,"Anna Fischer, Emily Cox, Winfried Glatzeder",Pologne,Bodega Films,Box Office France,1 293,"3,3","2,6",9728,0
7928,l'intervallo,2013-05-01,"Policier, Drame",1h 30min,Leonardo Di Costanzo,"Leonardo Di Costanzo, Maurizio Braucci","Francesca Riso, Alessio Gallo, Carmine Paternoster",Italie,Bellissima Films,Box Office France,2 839,"3,6","3,0",12196,0
7929,pan pleure pas,2014-06-11,Comédie dramatique,1h 14min,Gabriel Abrantes,"Benjamin Crotty, David Lasantha","Edith Scob, Laetitia Dosch, Omid Rawendah",France,Capricci Films,Box Office France,2 522,"3,7","2,5",7387,0
7930,tehilim,2007-05-30,Drame,1h 36min,Raphaël Nadjari,"Raphaël Nadjari, Vincent Poymiro","Michael Moshonov, Limor Goldstein, Yonathan Alster",France,Haut et Court,Box Office France,14 662,"3,2","2,5",21975,0
7931,ish lelo selolari,2012-07-25,Comédie dramatique,1h 23min,Sameh Zoabi,"Sameh Zoabi, Fred Rice","Razi Shawahdeh, Bassem Loulou, Loai Nofi",France,Eurozoom,Box Office France,1 702,"2,8","2,1",50020,0
7933,guo chun tian,2020-08-12,Drame,1h 39min,Bai Xue,"Bai Xue, Lin Meiju","Huang Yao (II), Sunny Sun, Carmen Soup",Chine,3L Films,Box Office France,950,"2,9","3,1",4078,0
7934,vidyum mun,2014-04-30,Action,2h 08min,Balaji K. Kumar,Balaji K. Kumar,"Pooja Umashankar, Vinoth Kishan, Malavika Manikuttan",Inde,Night ed films,Box Office France,202,"3,3","2,4",2402,0
7935,life above all,2010-12-01,"Drame, Famille",1h 46min,Oliver Schmitz,Dennis Foon,"Khomotso Manyaka, Lerato Mvelase, Harriet Manamela",Afrique du Sud,ARP Sélection,Box Office France,8 014,"3,2","3,6",50096,0
7936,né à jérusalem (et toujours vivant),2020-07-22,Comédie,1h 23min,Yossi Atia,"David Ofek, Yossi Atia","Yossi Atia, Lihi Kornowski, Itamar Rose",Israël,ARP Sélection,Box Office France,5 042,"3,3","2,4",77513,0
7937,juliana,2021-06-09,Drame,1h 34min,Fernando Espinoza,"Alejandro Legaspi, René Weber","Rosa Isabel Morffino, Julio Vega, Maritza Gutti",Pérou,Bobine Films,Box Office France,182,"3,3","2,9",1656,0
7938,parwareshgah,2019-11-27,"Drame, Historique",1h 30min,Shahrbanoo Sadat,Shahrbanoo Sadat,"Qodratollah Qadiri, Sediqa Rasuli, Anwar Hashimi",Danemark,Rouge Distribution,Box Office France,1 409,"2,7","3,0",8292,0
7939,ha edut,2019-03-13,Drame,1h 34min,Amichai Greenberg,Amichai Greenberg,"Ori Pfeffer, Rivka Gur, Hagit Dasberg-Shamul",Autriche,Condor Distribution,Box Office France,11 672,"3,5","3,6",257773,0
7940,ovsyanki,2010-11-03,Drame,1h 18min,Aleksey Fedorchenko,Denis Osokin,"Igor Sergeyev, Yuri Tsurilo, Yuliya Aug",Russie,Memento Distribution,Box Office France,17 127,"3,6","2,8",59149,0
7941,la tête ailleurs,2010-12-08,Comédie,1h 23min,Frédéric Pelle,"Frédéric Pelle, Laurent Graff","Nicolas Abraham, Jade Phan-Gia, Philippe Duquesne",France,Zelig Films Distribution,Box Office France,1 628,"3,0","3,1",62977,0
7943,ok-hui-ui yeonghwa,2011-12-07,Comédie dramatique,1h 20min,Hong Sang-Soo,Hong Sang-Soo,"Sun-kyun Lee, Yu-mi Jeong, Seong-kun Mun",Corée du Sud,Les Acacias,Box Office France,4 928,"3,5","2,8",21711,0
7944,semina il vento,2021-07-28,Drame,1h 31min,Danilo Caputo,"Danilo Caputo, Milena Magnani","Yile Yara Vianello, Feliciana Sibilano, Caterina Valente",Italie,Pyramide Distribution,Box Office France,1 905,"2,8","2,6",45093,0
7945,dooman river,2010-08-25,Drame,1h 29min,Zhang Lu,Zhang Lu,"Jian Cui, Jinglin Li",France,Arizona Distribution,Box Office France,1 658,"3,0","3,1",11212,0
7947,el viaje de ana,2021-09-29,Comédie dramatique,1h 28min,Pamela Varela,Pamela Varela,"Astrid Adverbe, Dimitra Kontou, Maritza Gonzalez",France,Cinéma Saint-André des Arts,Box Office France,108,"3,7","3,0",2850,0
7948,montanha,2016-05-04,Drame,1h 31min,João Salaviza,João Salaviza,"David Mourato, Maria João Pinho, Rodrigo Perdigão",Portugal,Pyramide Distribution,Box Office France,1 963,"3,1","2,4",10785,0
7949,coeur animal,2009-11-11,Drame,1h 30min,Séverine Cornamusaz,"Séverine Cornamusaz, Marcel Beaulieu","Olivier Rabourdin, Camille Japy, Antonio Buil",Suisse,ADR Productions,Box Office France,277,"2,8","3,0",12973,0
7950,bien profond dans ton âme,2013-12-11,Fantastique,1h 26min,Jean Adrien,Jean Adrien,"Gunther Van Severen, Colin Deleau, Sophie Lewish",France,Grizouille Films,Box Office France,100,"3,7",--,18641,0
7951,el último elvis,2013-01-16,Drame,1h 32min,Armando Bo,"Armando Bo, Nicolás Giacobone","John McInerny, Griselda Siciliani, Margarita Lopez",Argentine,Eurozoom,Box Office France,5 438,"3,6","3,0",57341,0
7952,hot hot hot,2013-01-02,Comédie dramatique,1h 30min,Béryl Koltz,Béryl Koltz,"Rob Stanley, Joanna Scanlan, Gary Cady",Belgique,Mica Films,Box Office France,183,"2,7","2,9",33881,0
7953,l'histoire du petit paolo,2012-12-05,Animation,0h 59min,Nicolas Liguori,"Vincent Bierrewaerts, Cécilia Marreiros Marum, Arnaud Demuynck, Géraldine Boudot","Agnès Jaoui, Laurence Deydier",France,Gebeka Films,Box Office France,4 158,"3,0","2,9",20130,Erreur lors de la requête API 2.
7954,lo roim alaich,2013-01-30,Drame,1h 30min,Michal Aviad,"Michal Aviad, Tal Omer","Ronit Elkabetz, Evgenia Dodina, Sivan Levy",Israël,Les Films de l'Atalante,Box Office France,472,"3,1","2,8",5698,0
7955,un autre homme,2009-05-06,Drame,1h 29min,Lionel Baier,Lionel Baier,"Robin Harsch, Natacha Koutchoumov, Elodie Weber",Suisse,Epicentre Films,Box Office France,1 914,"3,2","2,8",16040,0
7956,a thousand years of good prayers,2008-07-30,"Drame, Romance",1h 23min,Wayne Wang,"Li Yiyun, Michael Ray","Henry O, Faye Yu, Pavel Lychnikoff",U.S.A.,Diaphana Films,Box Office France,9 410,"3,9","3,4",26279,0
7957,humpday,2009-09-16,"Comédie, Drame",1h 35min,Lynn Shelton,Lynn Shelton,"Mark Duplass, Joshua Leonard, Alycia Delmore",U.S.A.,Pyramide Distribution,Box Office France,16 200,"3,0","2,1",104389,0
7959,choi voi,2011-02-09,Drame,1h 50min,Bui Thac Chuyen,Phan Dang Di,"Do Thi Hai Yen, Linh-Dan Pham, Duy Khoa Nguyen",Vietnam,Floris Films,Box Office France,1 214,"2,9","3,0",25568,0
7961,boogie,2009-06-17,Comédie dramatique,1h 43min,Radu Muntean,"Radu Muntean, Razvan Radulescu","Anamaria Marinca, Dragos Bucur, Adrian Vancica",Roumanie,Films sans Frontières,Box Office France,4 575,"3,3","3,1",32286,20000000
7962,i giorni contati,2012-04-25,Drame,1h 38min,Elio Petri,"Elio Petri, Carlo Romano","Salvo Randone, Franco Sportelli, Vittorio Caprioli",Italie,Tamasa Distribution,Box Office France,3 325,"4,3","3,7",12336,0
7964,los salvajes,2013-03-27,Drame,1h 59min,Alejandro Fadel,Alejandro Fadel,"Leonel Arancibia, Roberto Cowal, Sofia Brito",Argentine,Norte Distribution,Box Office France,1 719,"3,6","2,7",14754,0
7965,catch me daddy,2015-10-07,"Thriller, Action",1h 47min,Daniel Wolfe,"Matthew Wolfe, Daniel Wolfe, Matthew Wolfe","Gary Lewis, Sameena Jabeen Ahmed, Conor McCarron",Grande-Bretagne,Bodega Films,Box Office France,376,"3,5","2,7",14880,0
7966,journal d'un disparu,2018-09-26,Drame,1h 09min,Emmanuel Ostrovski,Joseph Rottner,"Joseph Rottner, Gianni Buscarino, Valentino Benvenuti",France,Cinéma Saint-André des Arts,Box Office France,50,"2,8",--,3170,0
7967,pas comme lui,2018-03-21,Drame,1h 19min,Franck Llopis,Franck Llopis,"Theo Galvalisi, Chris Imberdis, Nourit Teboul",France,Les Films à Fleur de Peau,Box Office France,256,"2,4",--,10588,0
7968,five thirteen,2014-06-11,"Drame, Policier",1h 50min,Kader Ayd,"Kader Ayd, Renee Topper","Malik Barnhardt, Avelawance Phillips, Tom Sizemore",U.S.A.,UPL Films Distributions,Box Office France,24 342,"2,3","2,4",469946,650000
7969,csak a szél,2013-06-12,Drame,1h 38min,Bence Fliegauf,Bence Fliegauf,"Katalin Toldi, Gyöngyi Lendvai, Lajos Sárkány",Hongrie,Dulac Distribution,Box Office France,5 561,"3,5","2,5",112214,620000
7970,l'apparition de la joconde,2011-10-12,"Comédie dramatique, Romance",1h 21min,François Lunel,"François Lunel, Viviane Zingg","Serge Riaboukine, Vanessa Glodjo, Grégoire Colin",France,Promenades Films,Box Office France,203,"2,3","2,6",29735,0
7971,è stato il figlio,2013-01-02,Comédie,1h 30min,Daniele Cipri,"Daniele Cipri, Massimo Gaudioso","Toni Servillo, Giselda Volodi, Fabrizio Falco",Italie,Bellissima Films,Box Office France,4 734,"3,0","1,7",10806,2100000
7972,hotel salvation,2018-05-02,"Drame, Comédie",1h 44min,Shubhashish Bhutiani,Shubhashish Bhutiani,"Adil Hussain, Lalit Behl, Geetanjali Kulkarni",Inde,Jupiter Films,Box Office France,987,"3,1","3,4",9334,0
7973,colo,2019-06-19,Drame,2h 16min,Teresa Villaverde,Teresa Villaverde,"João Pedro Vaz, Beatriz Batarda, Alice Albergaria Borges",Portugal,Ed Distribution,Box Office France,998,"3,5","2,5",9343,0
7974,chuangru zhe,2016-05-04,Thriller,1h 45min,Wang Xiaoshuai,"Wang Xiaoshuai, Fang Lei","Lü Zhong, Shi Liu, Feng Yuanzheng",Chine,Les Acacias,Box Office France,6 358,"3,2","3,4",8715,Erreur lors de la requête API 2.
7975,que justice soit nôtre,2014-12-10,"Drame, Thriller",1h 31min,Jean-Pierre Delépine,Jean-Pierre Delépine,"Alix Bénézech, Guy Amram, Juliette Besson",France,Tous Seuls Production,Box Office France,87,"1,9","3,0",8230,0
7976,rompecabezas,2010-06-23,Comédie dramatique,1h 28min,Natalia Smirnoff,Natalia Smirnoff,"María Onetto, Gabriel Goity, Arturo Goetz",France,Dulac Distribution,Box Office France,10 038,"3,4","3,3",188951,0
7978,at li layla,2015-03-04,Drame,1h 30min,Asaf Korman,Liron Ben-Shlush,"Liron Ben-Shlush, Dana Ivgy, Yaakov Zada Daniel",Israël,Potemkine Films,Box Office France,3 234,"3,2","3,5",19904,693550
7979,rosenn,2016-06-22,Drame,1h 40min,Yvan Le Moine,Yvan Le Moine,"Hande Kodja, Rupert Everett, Stanislas Merhar",France,Axxon Films,Box Office France,102,"2,9",--,5728,0
7980,koan of spring,2016-01-27,"Aventure, Drame",1h 14min,Marc-Olivier Louveau,Marc-Olivier Louveau,"Jim-Adhi Limas, Chiu Fang-Hsuang, Tapa Sudana",Corée du Sud,11 Décembre,Box Office France,298,"3,0",--,5602,0
7981,marussia,2015-01-21,Drame,1h 22min,Eva Pervolovici,"Monica Stan, Eva Pervolovici","Dinara Drukarova, Marie-Isabelle Stheynman, Sharunas Bartas",France,Hévadis Films,Box Office France,261,"3,6","3,1",8688,0
7982,das merkwürdige kätzchen,2014-04-02,Comédie dramatique,1h 12min,Ramon Zürcher,Ramon Zürcher,"Jenny Schily, Anjorka Strechel, Mia Kasalo",Allemagne,Aramis Films,Box Office France,2 452,"3,7","2,5",9404,0
7983,for those in peril,2014-02-12,Drame,1h 32min,Paul Wright (II),Paul Wright (II),"George MacKay, Kate Dickie, Nichola Burley",Grande-Bretagne,DistriB Films,Box Office France,1 328,"3,2","3,2",9887,0
7985,sheva dakot began eden,2009-10-14,Drame,1h 34min,Omri Givon,Omri Givon,"Reymonde Amsellem, Eldad Prives, Nadav Nates",Israël,Zootrope Films,Box Office France,2 918,"3,0","3,7",17262,Erreur lors de la requête API 2.
7986,dans sa bulle,2017-03-22,"Comédie, Romance",1h 25min,Pierre-Loup Rajot,"Pierre-Loup Rajot, Olivier Daniel","Céline Rajot, Eric Bonicatto, Marie Caldera",France,Ululato,Box Office France,86,"3,4",--,7477,0
7987,el campo,2012-06-13,Drame,1h 24min,Hernán Belón,"Hernán Belón, Valeria Radivo","Leonardo Sbaraglia, Dolores Fonzi, Matilda Manzano",Argentine,Bodega Films,Box Office France,934,"3,0","3,0",15512,0
7988,jao nok krajok,2013-01-16,Drame,1h 22min,Anocha Suwichakornpong,Anocha Suwichakornpong,"Arkaney Cherkham, Paramej Noiam, Anchana Ponpitakthepkij",Thaïlande,Survivance,Box Office France,468,"3,2","3,0",7548,0
7989,hadikduk hapnimi,2012-06-13,Drame,1h 50min,Nir Bergman,Nir Bergman,"Roee Elsberg, Orly Silbersatz Banai, Yehuda Almagor",Israël,Jour2fête,Box Office France,2 315,"2,3","2,9",173353,0
7990,apflickorna,2011-08-03,Drame,1h 24min,Lisa Aschan,"Josefine Adolfsson, Lisa Aschan","Mathilda Paradeiser, Linda Molin, Isabella Lindquist",Suède,ASC Distribution,Box Office France,869,"2,8","2,8",59413,1
7991,goodbye solo,2009-09-09,"Comédie, Drame",1h 31min,Ramin Bahrani,"Ramin Bahrani, Bahareh Azimi","Souleymane Sy Savane, Red West, Diana Franco Galindo",U.S.A.,Eurozoom,Box Office France,7 495,"3,7","2,8",32253,0
7992,tiszta szívvel,2017-02-15,"Action, Comédie",1h 47min,Attila Till,Attila Till,"Szabolcs Thuróczy, Zoltán Fenyvesi, Ádám Fekete",Hongrie,Pretty Pictures,Box Office France,2 209,"3,5","3,7",15791,0
7993,nakhodka,2016-03-16,Drame,1h 36min,Viktor Dement,Viktor Dement,"Aleksei Guskov, Nadezhda Markina, Anastasia Sheveleva",Russie,Borealia Films,Box Office France,1 416,"3,6","3,4",6073,0
7994,l'assiette de mon voisin,2017-06-14,Comédie dramatique,1h 16min,David Merlin-Dufey,Olivier Riche,"Thierry Simon, Diane Dassigny, Michel Vuillermoz",France,Autour d'un film productions,Box Office France,49,"3,1",--,9289,0
7995,absolute rest - estérahaté motlagh,2018-05-30,Drame,1h 15min,Abdolreza Kahani,"Saeid Ghotbizadeh, Abdolreza Kahani","Taraneh Alidoosti, Babak Hamidian, Reza Attaran",Iran,BlueBird Distribution,Box Office France,2 190,"3,1","3,1",88368,0
7996,juste après les larmes,2016-12-21,Policier,1h 35min,Tiburce, Tiburce,"Sandrine Nicolas, Floriane Vogel,  Galléa",France,Cinéma Saint-André des Arts,Box Office France,35,"3,4",--,3195,0
7997,kinoa et l'île merveilleuse,2016-12-07,Animation,1h 04min,Jean-Loup Martin,Jean-Loup Martin,"Brigitte Lecordier, Fily Keita, Alexandre Aubry",France,Panoceanic Films,Box Office France,18,"3,0",--,2121,0
7998,ciao ciao,2018-04-25,Drame,1h 23min,Song Chuan,Song Chuan,"Xueqin Liang, Yu Zhang,  Hong Chang",Chine,Dissidenz Films,Box Office France,525,"3,1","3,1",3155,0
